# sec(z), Tsys/Tatm, Tr
1.33726 0.10381 20.11988
1.33934 0.13877 30.59361
1.34142 0.17217 40.60385
1.34352 0.10556 20.60771
1.34563 0.13825 30.40236
1.34775 0.09638 17.82675
1.34988 0.18381 44.04237
1.35203 0.14132 31.28287
1.35418 0.11059 22.05084
1.35634 0.16946 39.70101
1.35852 0.21118 52.20231
1.36070 0.11426 23.11315
1.36290 0.13492 29.29803
1.36511 0.15842 36.33494
1.36733 0.14443 32.12398
1.36956 0.20336 49.79042
1.37180 0.14272 31.58543
1.37406 0.08169 13.26368
1.37632 0.16335 37.74564
1.37860 0.18037 42.84011
1.38089 0.14256 31.48317
1.38319 0.17827 42.18298
1.38550 0.13155 28.15238
1.38783 0.20775 50.99851
1.39016 0.17098 39.95356
1.39251 0.14535 32.25110
1.39487 0.11581 23.37260
1.39725 0.15775 35.94086
1.39963 0.20911 51.33483
1.40203 0.16245 37.32316
1.40444 0.14335 31.57951
1.40687 0.14164 31.05140
1.40930 0.20130 48.93567
1.41175 0.11501 23.03189
1.41421 0.21913 54.25258
1.41669 0.12019 24.55680
1.41918 0.11587 23.24712
1.42168 0.13986 30.42738
1.42419 0.10754 20.71664
1.42672 0.10853 20.99791
1.42926 0.09879 18.06278
1.43181 0.05894 6.09046
1.43438 0.17509 40.92124
1.43696 0.15444 34.71111
1.43956 0.10496 19.84943
1.44217 0.11408 22.56982
1.44479 0.24661 62.31466
1.44742 0.13669 29.32116
1.45007 0.09151 15.75173
1.45274 0.10723 20.45149
1.45542 0.11863 23.85516
1.45811 0.10996 21.23977
1.46082 0.10132 18.63055
1.46354 0.10700 20.31926
1.46628 0.18672 44.21703
1.46903 0.14760 32.46704
1.47180 0.15985 36.12527
1.47458 0.17858 41.72584
1.47738 0.13653 29.09430
1.48019 0.12762 26.40458
1.48301 0.10491 19.57342
1.48586 0.10738 20.29846
1.48871 0.13540 28.68712
1.49159 0.18452 43.40584
1.49448 0.15537 34.64481
1.49738 0.12981 26.95831
1.50030 0.18495 43.48393
1.50324 0.09377 16.11084
1.50619 0.16569 37.66896
1.50916 0.16232 36.64139
1.51215 0.16081 36.16956
1.51515 0.12567 25.61089
1.51817 0.09284 15.74186
1.52120 0.11614 22.71527
1.52425 0.12039 23.97067
1.52732 0.12408 25.05903
1.53041 0.06788 8.18043
1.53351 0.13892 29.47639
1.53663 0.14402 30.98593
1.53977 0.14070 29.97258
1.54292 0.07030 8.83312
1.54610 0.14381 30.86765
1.54929 0.19290 45.57445
1.55250 0.23436 57.99321
1.55572 0.12866 26.26494
1.55897 0.19164 45.13842
1.56223 0.20258 48.40149
1.56551 0.20408 48.83111
1.56881 0.15709 34.71372
1.57213 0.14934 32.36820
1.57547 0.12780 25.88683
1.57883 0.12327 24.50921
1.58221 0.11782 22.85364
1.58560 0.14741 31.70936
1.58902 0.13947 29.30646
1.59245 0.18742 43.67000
1.59590 0.14058 29.59931
1.59938 0.13452 27.76045
1.60287 0.15038 32.49617
1.60639 0.13501 27.86605
1.60992 0.06403 6.55026
1.61348 0.15772 34.63583
1.61705 0.20419 48.55363
1.62065 0.22037 53.38725
1.62427 0.14599 31.05193
1.62791 0.18076 41.46177
1.63157 0.14501 30.71230
1.63525 0.10835 19.69476
1.63895 0.17596 39.95404
1.64268 0.20089 47.41118
1.64643 0.12835 25.62561
1.65020 0.15322 33.06553
1.65399 0.13507 27.59692
1.65780 0.12853 25.61341
1.66164 0.18787 43.38992
1.66550 0.14213 29.64689
1.66938 0.16932 37.77939
1.67329 0.17973 40.87799
1.67722 0.20795 49.32083
1.68117 0.16165 35.40714
1.68515 0.18865 43.48282
1.68915 0.14713 31.00507
1.69318 0.13412 27.07759
1.69723 0.10269 17.62302
1.70130 0.11022 19.85762
1.70540 0.13171 26.28019
1.70953 0.14269 29.54883
1.71368 0.10595 18.50437
1.71785 0.11564 21.38453
1.72205 0.11034 19.76922
1.72628 0.13299 26.54006
1.73053 0.20445 47.95283
1.73481 0.12038 22.70494
1.73911 0.08863 13.15544
1.74345 0.12079 22.77764
1.74781 0.16302 35.42055
1.75219 0.19492 44.96355
1.75661 0.15493 32.93833
1.76105 0.15454 32.79503
1.76552 0.10105 16.72192
1.77001 0.22214 53.02227
1.77454 0.10095 16.63711
1.77910 0.08853 12.88568
1.78368 0.09480 14.73852
1.78829 0.16449 35.61855
1.79293 0.20644 48.17387
1.79761 0.16105 34.52858
1.80231 0.12839 24.70204
1.80704 0.17431 38.45151
1.81180 0.17545 38.76498
1.81659 0.17188 37.66308
1.82142 0.20711 48.20480
1.82627 0.13794 27.42454
1.83116 0.17044 37.14458
1.83608 0.09382 14.12834
1.84103 0.15932 33.74897
1.84601 0.17651 38.87789
1.85103 0.10994 18.87499
1.85608 0.13516 26.41081
1.86116 0.07835 9.33863
1.86627 0.21910 51.53311
1.87142 0.19583 44.52005
1.87661 0.13629 26.62614
1.88183 0.17627 38.59023
1.88708 0.12050 21.82863
1.89237 0.18460 41.02623
1.89769 0.19448 43.95762
1.90305 0.15175 31.10534
1.90845 0.12100 21.84931
1.91388 0.18516 41.06476
1.91935 0.11884 21.13487
1.92486 0.16009 33.47723
1.93040 0.11693 20.49748
1.93598 0.18859 41.96147
1.94160 0.17396 37.53751
1.94726 0.15456 31.68461
1.95296 0.11679 20.32022
1.95870 0.17302 37.15364
1.96448 0.12515 22.75771
1.97029 0.19640 44.09767
1.97615 0.13689 26.21023
1.98205 0.17010 36.13811
1.98799 0.15701 32.17645
1.99398 0.15814 32.47962
2.00000 0.15253 30.75996
2.00607 0.14767 29.26399
2.01218 0.16298 33.82123
2.01833 0.07067 6.08985
2.02453 0.19081 42.09656
2.03077 0.09821 14.27742
2.03706 0.14334 27.77995
2.04339 0.06752 4.99468
2.04977 0.07093 5.97889
2.05619 0.20812 47.09941
2.06267 0.12815 23.06861
2.06918 0.10748 16.82911
2.07575 0.15515 31.08995
2.08236 0.21540 49.12664
2.08903 0.12942 23.29152
2.09574 0.13465 24.82187
2.10250 0.10706 16.50186
2.10931 0.10562 16.02883
2.11617 0.20168 44.80782
2.12309 0.14772 28.57750
2.13005 0.11350 18.26938
2.13707 0.17898 37.87108
2.14414 0.11767 19.43628
2.15127 0.14890 28.76255
2.15845 0.16489 33.51687
2.16568 0.15886 31.66504
2.17297 0.19622 42.82864
2.18031 0.15929 31.70588
2.18772 0.16993 34.85247
2.19517 0.17348 35.87438
2.20269 0.20860 46.36510
2.21026 0.10713 15.87674
2.21790 0.17533 36.29108
2.22559 0.17104 34.95922
2.23334 0.12545 21.23496
2.24116 0.15128 28.93688
2.24903 0.15457 29.87727
2.25697 0.15859 31.03382
2.26498 0.15190 28.98062
2.27304 0.11349 17.41010
2.28117 0.17536 35.92180
2.28937 0.16100 31.56498
2.29763 0.17036 34.32335
2.30596 0.20615 45.00800
2.31436 0.18800 39.51362
2.32282 0.17676 36.08972
2.33135 0.15080 28.25188
2.33996 0.16963 33.84912
2.34863 0.17239 34.62425
2.35738 0.14821 27.31962
2.36620 0.18172 37.32023
2.37509 0.17347 34.78902
2.38406 0.20612 44.53097
2.39311 0.14408 25.86633
2.40222 0.14327 25.56815
2.41142 0.09693 11.60983
2.42070 0.17555 35.14046
2.43005 0.16956 33.28864
2.43948 0.09641 11.28490
2.44900 0.14069 24.51206
2.45859 0.18419 37.50454
2.46827 0.16994 33.17267
2.47804 0.14235 24.83686
2.48789 0.13879 23.71054
2.49782 0.16582 31.76050
2.50784 0.17832 35.44910
2.51795 0.18312 36.82773
2.52815 0.17295 33.71717
2.53845 0.15237 27.47930
2.54883 0.15061 26.89138
2.55930 0.16040 29.76463
2.56988 0.17075 32.80636
2.58054 0.14132 23.91404
2.59130 0.13929 23.23865
2.60217 0.14761 25.66893
2.61313 0.19844 40.85385
2.62419 0.16021 29.31862
2.63535 0.14809 25.61533
2.64662 0.16869 31.72870
2.65799 0.20900 43.75115
2.66947 0.19871 40.59619
2.68105 0.14030 23.00310
2.69275 0.12546 18.48029
2.70455 0.12944 19.60386
2.71647 0.22734 48.90300
2.72850 0.16795 31.01334
2.74065 0.20668 42.56015
2.75292 0.14696 24.57048
2.76530 0.17724 33.57917
2.77780 0.12300 17.23448
2.79043 0.13435 20.56137
2.80318 0.12391 17.35502
2.81605 0.17857 33.67378
2.82906 0.13439 20.34244
2.84219 0.18289 34.81298
2.85545 0.20242 40.59415
2.86885 0.13522 20.35206
2.88238 0.21125 43.08204
2.89605 0.19862 39.20868
2.90986 0.14931 24.33279
2.92380 0.15075 24.68366
2.93790 0.16127 27.75344
2.95213 0.17163 30.77616
2.96652 0.17008 30.22446
2.98106 0.26128 57.49859
2.99574 0.15650 25.97685
3.01059 0.17694 32.01878
3.02559 0.22574 46.56719
3.04075 0.16470 28.16495
3.05607 0.17980 32.60340
3.07155 0.20133 38.96820
3.08721 0.20050 38.62726
3.10303 0.18873 34.99945
3.11903 0.17272 30.10311
3.13520 0.19498 36.68188
3.15155 0.11781 13.43261
3.16808 0.20664 39.98498
3.18479 0.14670 21.90130
3.20169 0.14937 22.60131
3.21878 0.17989 31.65345
3.23607 0.19634 36.48498
3.25355 0.20010 37.50957
3.27123 0.15107 22.69374
3.28912 0.23401 47.46778
3.30721 0.20640 39.07760
3.32551 0.17110 28.37813
3.34403 0.19498 35.42898
3.36276 0.10366 7.92129
3.38171 0.12702 14.81424
3.40089 0.16356 25.66330
3.42030 0.10593 8.25842
3.43995 0.11838 11.87493
3.45983 0.22634 44.14365
3.47995 0.15030 21.21161
3.50032 0.16197 24.59028
3.52094 0.19782 35.21908
3.54181 0.19500 34.25005
3.56294 0.16388 24.78765
3.58434 0.15251 21.24672
3.60601 0.11890 11.03377
3.62796 0.13617 16.08289
3.65018 0.17958 28.97252
3.67269 0.23453 45.32290
3.69549 0.21617 39.67742
3.71858 0.16333 23.68780
3.74198 0.19806 33.96494
3.76568 0.23419 44.66147
3.78970 0.12696 12.34914
3.81404 0.26748 54.35879
3.83871 0.21398 38.16070
3.86370 0.15951 21.67226
3.88904 0.19637 32.57584
3.91473 0.18863 30.10146
3.94076 0.19897 33.04718
3.96716 0.22942 42.02351
3.99393 0.19370 31.14616
4.02107 0.15385 19.02924
4.04860 0.21000 35.70759
4.07652 0.15493 19.01841
4.10484 0.17966 26.27047
4.13357 0.19537 30.80942
4.16271 0.17600 24.82337
4.19228 0.22137 38.25816
4.22229 0.19354 29.72873
4.25275 0.14733 15.68364
4.28366 0.15179 16.83371
4.31503 0.19670 30.11985
4.34689 0.20001 30.92164
4.37923 0.16105 19.03863
4.41206 0.20604 32.34078
4.44541 0.20981 33.27159
4.47928 0.26147 48.56444
4.51368 0.22229 36.60439
4.54863 0.24047 41.84933
4.58414 0.13397 9.68693
4.62023 0.16509 18.80568
4.65690 0.27409 51.28479
4.69417 0.19352 26.89155
4.73205 0.23738 39.82242
4.77057 0.18445 23.71300
4.80973 0.19178 25.67503
4.84956 0.21130 31.29366
4.89007 0.23747 38.89976
4.93128 0.22482 34.85726
4.97320 0.22625 35.03600
5.01585 0.23886 38.56216
5.05926 0.15893 14.32393
5.10344 0.23454 36.74007
5.14842 0.18526 21.68679
5.19421 0.19245 23.57074
5.24084 0.23120 34.91396
5.28833 0.17972 19.18521
5.33671 0.22923 33.74975
5.38600 0.26192 43.26062
5.43622 0.22874 33.00521
5.48740 0.24955 38.94154
5.53958 0.25488 40.22794
5.59277 0.24621 37.30536
5.64701 0.19549 21.76513
5.70234 0.27232 44.48199
